date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:18:55	926758/926758	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:45%20GMT	https://mathieublok.co/assets/img/projects/geodia/home-case.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/geodia/home-case.png	(from https://mathieublok.co/css/style.css)
01:18:56	848514/848514	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:43%20GMT	https://mathieublok.co/assets/img/projects/fred/home-case.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/fred/home-case.png	(from https://mathieublok.co/css/style.css)
01:18:56	2148367/2148367	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:45%20GMT	https://mathieublok.co/assets/img/projects/geodia/home.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/geodia/home.png	(from https://mathieublok.co/project-geodia.php)
01:18:56	234847/234847	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:45%20GMT	https://mathieublok.co/assets/img/projects/geodia/multipages-b.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/geodia/multipages-b.png	(from https://mathieublok.co/project-geodia.php)
01:18:56	1354/1354	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2015%20Jun%202020%2013:02:31%20GMT	https://mathieublok.co/assets/img/aboutus/arrow.svg	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/aboutus/arrow.svg	(from https://mathieublok.co/project-geodia.php)
01:19:10	436296/436296	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:45%20GMT	https://mathieublok.co/assets/img/projects/geodia/mobile.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/geodia/mobile.png	(from https://mathieublok.co/project-geodia.php)
01:19:11	350781/350781	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/xaalys/mobile.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/xaalys/mobile.png	(from https://mathieublok.co/project-xaalys.php)
01:19:11	968938/968938	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:45%20GMT	https://mathieublok.co/assets/img/projects/geodia/multipages-a.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/geodia/multipages-a.png	(from https://mathieublok.co/project-geodia.php)
01:19:51	583184/583184	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:43%20GMT	https://mathieublok.co/assets/img/projects/nutergia/menu.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/nutergia/menu.png	(from https://mathieublok.co/project-nutergia.php)
01:19:51	1927503/1927503	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2009:16:44%20GMT	https://mathieublok.co/assets/img/projects/xaalys/home.png	C:/Users/hp/Desktop/website%20collection/Portfolio/mathieublok.co/assets/img/projects/xaalys/home.png	(from https://mathieublok.co/project-xaalys.php)
